,time,id,icij_sar_id,originator_bank,filer_org_name,beneficiary_bank,Transaction_amount_BTC,Transaction_amount_USD,Price,Sender,Receiver,Hash,originator_bank_country,beneficiary_bank_country,number_transactions,amount_transactions
0,2015-03-25,223254,3297,CIMB Bank Berhad,The Bank of New York Mellon Corp.,Barclays Bank Plc,7000.0,1718429.0070921988,245.4898581560284,3KBUuGko4H5ke7EVsq9B7PLK1c5Askdd7y,3KgtbGgaX2ngstNpvyv7LwpHSweVeqGbpM,e27f7544ef6d370234e9df8fc5775077b8d7d0bc6f88984be5fe7249a6d612c9,Singapore,United Kingdom,68.0,56898523.47
1,2015-03-25,235724,2865,Victoriabank,The Bank of New York Mellon Corp.,Expobank,7000.0,1718429.0070921988,245.4898581560284,3KBUuGko4H5ke7EVsq9B7PLK1c5Askdd7y,3KgtbGgaX2ngstNpvyv7LwpHSweVeqGbpM,e27f7544ef6d370234e9df8fc5775077b8d7d0bc6f88984be5fe7249a6d612c9,Moldova,Latvia,4.0,20000000.0
2,2015-03-25,240099,3319,Barclays,Barclays Plc,Ukrsibbank,7000.0,1718429.0070921988,245.4898581560284,3KBUuGko4H5ke7EVsq9B7PLK1c5Askdd7y,3KgtbGgaX2ngstNpvyv7LwpHSweVeqGbpM,e27f7544ef6d370234e9df8fc5775077b8d7d0bc6f88984be5fe7249a6d612c9,United Arab Emirates,Ukraine,2.0,11900.0
3,2015-03-30,223255,3297,CIMB Bank Berhad,The Bank of New York Mellon Corp.,Barclays Bank Plc,5000.0,1224059.027777778,244.8118055555555,3KBUuGko4H5ke7EVsq9B7PLK1c5Askdd7y,3KgtbGgaX2ngstNpvyv7LwpHSweVeqGbpM,bfa3f44364a364b71a24f56834d6dfcebba9ce6a367af76f7ea8d8ab08e2f452,Singapore,United Kingdom,118.0,116238361.25
5,2016-07-28,223986,2765,Societe Generale Private Banking,Société Générale SA,Gazprombank,5944.82483155,3894262.9715,655.0677407407406,3HeTL3L661oBXU4dh32CdgeGgqXsx9XNzR,3MAqiaoBwW5qH34dRtQ5BorUEJyS17H2RG,d118f57f4d1cc52e887a33dac2dd5095412722803be681f714a45d285c4457fc,Switzerland,Russia,1.0,13526.0
41,2015-05-26,223991,3062,Deutsche Bank AG Taunusanlage 12 ,OFG Bancorp,Oriental Bank,4354.65576249,1028593.71144,236.20551601423486,1LFmAsB8pxsoibc5t715X5ddZJmQ9VvxRm,1331nMPHkVFa85N6X2GpzHj54hMXmpNGDZ,b7b57b038b02b0db7608a367e1e1cbe965af524f217615b01c4080ce50e74fca,Germany,Puerto Rico,1.0,167000.0
42,2015-05-26,227604,2462,JSC Norvik Banka,The Bank of New York Mellon Corp.,BTA Bank,4354.65576249,1028593.71144,236.20551601423486,1LFmAsB8pxsoibc5t715X5ddZJmQ9VvxRm,1331nMPHkVFa85N6X2GpzHj54hMXmpNGDZ,b7b57b038b02b0db7608a367e1e1cbe965af524f217615b01c4080ce50e74fca,Latvia,Kazakhstan,2.0,1000000.0
43,2015-05-26,237753,4348,Amicorp Bank And Trust Ltd,The Bank of New York Mellon Corp.,"Credit Suisse, Singapore Branch",4354.65576249,1028593.71144,236.20551601423486,1LFmAsB8pxsoibc5t715X5ddZJmQ9VvxRm,1331nMPHkVFa85N6X2GpzHj54hMXmpNGDZ,b7b57b038b02b0db7608a367e1e1cbe965af524f217615b01c4080ce50e74fca,Barbados,Singapore,1.0,3000000.0
44,2015-05-26,237762,4348,Bank of Communications,The Bank of New York Mellon Corp.,Riyad Bank,4354.65576249,1028593.71144,236.20551601423486,1LFmAsB8pxsoibc5t715X5ddZJmQ9VvxRm,1331nMPHkVFa85N6X2GpzHj54hMXmpNGDZ,b7b57b038b02b0db7608a367e1e1cbe965af524f217615b01c4080ce50e74fca,China,Saudi Arabia,1.0,13375463.0
45,2015-04-16,224028,3064,Usaa Federal Savings Bank,The Bank of New York Mellon Corp.,Commonwealth Bank of Australia,4472.43904254,1009167.15095,225.6413427561837,13wEi7XELntMDXtBaoqdPzMTNTo5YqwacP,16FAi22fnsqhEubwCmWg2gx9LQmeaaw5QP,b80fa1434bb1cdb9f4accb902ee7df507ff6957ee5c2386f9625ea6e3bcbfab4,United States,Australia,1.0,10000.0
47,2015-04-16,227610,2462,Norvik Banka JSC,The Bank of New York Mellon Corp.,Skandinaviska Enskilda Banken,4472.43904254,1009167.15095,225.6413427561837,13wEi7XELntMDXtBaoqdPzMTNTo5YqwacP,16FAi22fnsqhEubwCmWg2gx9LQmeaaw5QP,b80fa1434bb1cdb9f4accb902ee7df507ff6957ee5c2386f9625ea6e3bcbfab4,Latvia,United States,6.0,3351053.37
49,2015-03-18,224057,3575,"UniCredit Bank, Cjsc",The Bank of New York Mellon Corp.,Credit Suisse AG,6741.51900251,1869463.4779400001,277.30597173144884,15irh5cW8XZxS42MZDhAZUpw5v6JWbAiBY,16hcX3wRuPboeLvk6PHfdUJXxsvrgxk8hX,f3ca66736160cfb9fe329c691b9bbbd7ea4aeeb2e51a628cc8e7f8de9138a78b,Russia,Switzerland,1.0,1762600.0
119,2015-03-18,230173,3055,Fifth Third Bank,"Fifth Third Bank, National Association",Korea Exchange Bank,6741.51900251,1869463.4779400001,277.30597173144884,15irh5cW8XZxS42MZDhAZUpw5v6JWbAiBY,16hcX3wRuPboeLvk6PHfdUJXxsvrgxk8hX,f3ca66736160cfb9fe329c691b9bbbd7ea4aeeb2e51a628cc8e7f8de9138a78b,United States,Korea,2.0,6000.0
189,2015-03-18,230180,3055,Fifth Third Bank,"Fifth Third Bank, National Association",Fifth Third Bank,6741.51900251,1869463.4779400001,277.30597173144884,15irh5cW8XZxS42MZDhAZUpw5v6JWbAiBY,16hcX3wRuPboeLvk6PHfdUJXxsvrgxk8hX,f3ca66736160cfb9fe329c691b9bbbd7ea4aeeb2e51a628cc8e7f8de9138a78b,United States,United States,8.0,1245000.0
259,2015-03-18,230181,3055,Fifth Third Bank,"Fifth Third Bank, National Association",Fifth Third Bank,6741.51900251,1869463.4779400001,277.30597173144884,15irh5cW8XZxS42MZDhAZUpw5v6JWbAiBY,16hcX3wRuPboeLvk6PHfdUJXxsvrgxk8hX,f3ca66736160cfb9fe329c691b9bbbd7ea4aeeb2e51a628cc8e7f8de9138a78b,United States,United States,3.0,4956000.0
329,2015-03-18,230182,3055,Fifth Third Bank,"Fifth Third Bank, National Association",Lloyds Bank,6741.51900251,1869463.4779400001,277.30597173144884,15irh5cW8XZxS42MZDhAZUpw5v6JWbAiBY,16hcX3wRuPboeLvk6PHfdUJXxsvrgxk8hX,f3ca66736160cfb9fe329c691b9bbbd7ea4aeeb2e51a628cc8e7f8de9138a78b,United States,United Kingdom,4.0,2160.0
399,2015-03-18,230183,3055,Fifth Third Bank,"Fifth Third Bank, National Association",Skandinaviska Enskilda Banken,6741.51900251,1869463.4779400001,277.30597173144884,15irh5cW8XZxS42MZDhAZUpw5v6JWbAiBY,16hcX3wRuPboeLvk6PHfdUJXxsvrgxk8hX,f3ca66736160cfb9fe329c691b9bbbd7ea4aeeb2e51a628cc8e7f8de9138a78b,United States,Sweden,3.0,21920.0
469,2015-03-18,230184,3055,Fifth Third Bank,"Fifth Third Bank, National Association",Deutsche Bank,6741.51900251,1869463.4779400001,277.30597173144884,15irh5cW8XZxS42MZDhAZUpw5v6JWbAiBY,16hcX3wRuPboeLvk6PHfdUJXxsvrgxk8hX,f3ca66736160cfb9fe329c691b9bbbd7ea4aeeb2e51a628cc8e7f8de9138a78b,United States,Germany,3.0,30601.84
539,2015-03-18,230185,3055,Fifth Third Bank,"Fifth Third Bank, National Association",HSBC Bank,6741.51900251,1869463.4779400001,277.30597173144884,15irh5cW8XZxS42MZDhAZUpw5v6JWbAiBY,16hcX3wRuPboeLvk6PHfdUJXxsvrgxk8hX,f3ca66736160cfb9fe329c691b9bbbd7ea4aeeb2e51a628cc8e7f8de9138a78b,United States,United Kingdom,,62500.0
609,2015-03-18,235718,2865,Expobank,The Bank of New York Mellon Corp.,Turkiye Finans Katilim Bankasi A.S. ,6741.51900251,1869463.4779400001,277.30597173144884,15irh5cW8XZxS42MZDhAZUpw5v6JWbAiBY,16hcX3wRuPboeLvk6PHfdUJXxsvrgxk8hX,f3ca66736160cfb9fe329c691b9bbbd7ea4aeeb2e51a628cc8e7f8de9138a78b,Latvia,Turkey,3.0,1467500.0
679,2015-03-18,240103,3319,Barclays,Barclays Plc,Ukrsibbank,6741.51900251,1869463.4779400001,277.30597173144884,15irh5cW8XZxS42MZDhAZUpw5v6JWbAiBY,16hcX3wRuPboeLvk6PHfdUJXxsvrgxk8hX,f3ca66736160cfb9fe329c691b9bbbd7ea4aeeb2e51a628cc8e7f8de9138a78b,United Arab Emirates,Ukraine,1.0,8775.0
749,2016-12-14,224119,2716,Hellenic Bank Public Company,Deutsche Bank AG,Bank VTB 24,1686.576,1311768.0,777.7698566308244,1ALSssLPaVUwK53mjzqouB4nXZbuzZmjRL,1LArXoq1GNfEVCTMoFmPE3TCHbHYzjm2nk,3abd269bbde47f0bd58f8b95baba23f188f89dbe0431ce08e74ee53a88359c5b,Cyprus,Russia,1.0,35495.0
815,2016-12-14,235191,3997,Falcon Private Bank Ltd,The Bank of New York Mellon Corp.,AS Meridian Trade Bank,1686.576,1311768.0,777.7698566308244,1ALSssLPaVUwK53mjzqouB4nXZbuzZmjRL,1LArXoq1GNfEVCTMoFmPE3TCHbHYzjm2nk,3abd269bbde47f0bd58f8b95baba23f188f89dbe0431ce08e74ee53a88359c5b,Switzerland,Latvia,1.0,1953249.53
881,2016-12-14,243329,2320,VTB Bank ,The Bank of New York Mellon Corp.,Rigensis Bank AS,1686.576,1311768.0,777.7698566308244,1ALSssLPaVUwK53mjzqouB4nXZbuzZmjRL,1LArXoq1GNfEVCTMoFmPE3TCHbHYzjm2nk,3abd269bbde47f0bd58f8b95baba23f188f89dbe0431ce08e74ee53a88359c5b,Russia,Latvia,1.0,22066254.5
947,2016-10-19,224141,2707,Es Citadele Banka Eesti Filiaal,Deutsche Bank AG,Swedbank AS,2486.93667315,1573677.94683,632.7776512455516,1HwD2DJsBjtVBXLDvuuNPABfQbXunPbjZc,1FwyqxuKsmqJQRmrhwU7JTDqsEYvM21KhV,ec6ba8b7207196f1507755357af12ddca9d96bbc2ec8d4a3dd5b538edf5f44b6,Estonia,Estonia,1.0,25630.0
981,2016-10-19,237991,2498,SEB Pank,The Bank of New York Mellon Corp.,Eurasian Development Bank,2486.93667315,1573677.94683,632.7776512455516,1HwD2DJsBjtVBXLDvuuNPABfQbXunPbjZc,1FwyqxuKsmqJQRmrhwU7JTDqsEYvM21KhV,ec6ba8b7207196f1507755357af12ddca9d96bbc2ec8d4a3dd5b538edf5f44b6,Estonia,Kazakhstan,2.0,1837683.28
1015,2015-10-29,224149,3087,"Bank DBS Indonesia, PT",The Bank of New York Mellon Corp.,United Overseas Bank Limited,4999.0,1543624.6627874558,308.7866898954704,"1FeDtFhARLxjKUPPkQqEBL78tisenc9znS
13MrETPTk6FAQ4roi7HcLbjyXztHwpsaXG",1EBJaPQMrxT6ZNafyUeoih2Wuyd7XhPqA5,a24f5bff05526207c1d83c82eea88343b5ead5d8819b1a828ee906dd10388124,Indonesia,Singapore,4.0,650000.0
1028,2015-10-29,238149,3087,"Bank DBS Indonesia, PT",The Bank of New York Mellon Corp.,Rizal Commercial Banking Corp,4999.0,1543624.6627874558,308.7866898954704,"1FeDtFhARLxjKUPPkQqEBL78tisenc9znS
13MrETPTk6FAQ4roi7HcLbjyXztHwpsaXG",1EBJaPQMrxT6ZNafyUeoih2Wuyd7XhPqA5,a24f5bff05526207c1d83c82eea88343b5ead5d8819b1a828ee906dd10388124,Indonesia,Philippines,1.0,260000.0
1041,2016-07-04,224182,3107,Maiwand Bank,The Bank of New York Mellon Corp.,Nurbank JSC,3407.40300789,2279831.68338,669.0819014084508,1Luj5Qfy1e9WrJeouvndiGX8AzYKMfR7vC,1HfuUEt1C7kkLeuY8aHSTfrRk1yBUoqCm7,81aa1d3e907f761364378bd55bc04c0b971b23cc3ca85332dd00c758cf30277e,Afghanistan,Kazakhstan,8.0,318990.0
1091,2016-08-16,224183,3107,Maiwand Bank,The Bank of New York Mellon Corp.,Halyk Savings Bank Kazakhstan,2628.06067015,1497926.69042,569.9741666666666,1Kr6QSydW9bFQG1mXiPNNu6WpJGmUa9i1g,1JGhqmghcaHsDFX3C7NyqCtpSfQws9HDaR,bd485fde14ace3e0bb3193378fee207bdd21e15aaa95ba92875d687332b4a58d,Afghanistan,Kazakhstan,4.0,709161.73
1135,2016-08-16,231248,3355,Australia And New Zealand Banking,The Bank of New York Mellon Corp.,Oversea Chinese Banking Corp Ltd,2628.06067015,1497926.69042,569.9741666666666,1Kr6QSydW9bFQG1mXiPNNu6WpJGmUa9i1g,1JGhqmghcaHsDFX3C7NyqCtpSfQws9HDaR,bd485fde14ace3e0bb3193378fee207bdd21e15aaa95ba92875d687332b4a58d,Australia,Singapore,1.0,300000.0
1179,2016-08-16,235654,3352,Commerzbank AG,The Bank of New York Mellon Corp.,Indian Bank,2628.06067015,1497926.69042,569.9741666666666,1Kr6QSydW9bFQG1mXiPNNu6WpJGmUa9i1g,1JGhqmghcaHsDFX3C7NyqCtpSfQws9HDaR,bd485fde14ace3e0bb3193378fee207bdd21e15aaa95ba92875d687332b4a58d,Belgium,Singapore,3.0,6750000.0
1223,2016-08-16,243957,2804,Rigenesis Bank AS,Deutsche Bank AG,ING Netherland NV,2628.06067015,1497926.69042,569.9741666666666,1Kr6QSydW9bFQG1mXiPNNu6WpJGmUa9i1g,1JGhqmghcaHsDFX3C7NyqCtpSfQws9HDaR,bd485fde14ace3e0bb3193378fee207bdd21e15aaa95ba92875d687332b4a58d,Latvia,Netherlands,1.0,23000000.0
1267,2016-08-16,243958,2804,ING Netherland NV,Deutsche Bank AG,Rigenesis Bank AS,2628.06067015,1497926.69042,569.9741666666666,1Kr6QSydW9bFQG1mXiPNNu6WpJGmUa9i1g,1JGhqmghcaHsDFX3C7NyqCtpSfQws9HDaR,bd485fde14ace3e0bb3193378fee207bdd21e15aaa95ba92875d687332b4a58d,Netherlands,Latvia,1.0,23416000.0
1311,2016-08-07,224184,3107,Maiwand Bank,The Bank of New York Mellon Corp.,Bank Mandiri,2265.02717342,1337896.03758,590.6754909090911,1L3bKP2sX74RXafAHTq4b2ggLcwiDLVRCR,1Dh2gqMkV2y7CMytY6phmxdz3E5RkBifRm,20395df1f9fe740497f12aee709b5923f8b4b6d0590c087bad2606622573e616,Afghanistan,Indonesia,5.0,807000.0
1354,2016-11-28,224186,2716,Liechtensteinische Landesbank,Deutsche Bank AG,HSBC,2215.09798524,1615910.9168,729.4986170212766,3PBJVv4mcwXLBE1zoyGtpsUmrBSKS1sPib,3Eb5Tr9g67Tqkif6t1PNskH9iNz2nQJoRH,30e7615fdfe43cb806227daed05605cd21a4fb022235d7d605616f4c9978f39a,Liechtenstein,Hong Kong,1.0,5420.0
1369,2016-11-28,232179,3976,Cathay United Bank,The Bank of New York Mellon Corp.,CTBC Bank Co Ltd,2215.09798524,1615910.9168,729.4986170212766,3PBJVv4mcwXLBE1zoyGtpsUmrBSKS1sPib,3Eb5Tr9g67Tqkif6t1PNskH9iNz2nQJoRH,30e7615fdfe43cb806227daed05605cd21a4fb022235d7d605616f4c9978f39a,Taiwan,Hong Kong,3.0,7600000.0
1384,2016-10-18,224187,2716,HSBC,Deutsche Bank AG,Rietumu Banka JSC,2509.95877315,1597277.88279,636.3761428571427,15bjM9MaKSFE8cZ4pKNj8fyvKQvea88wdD,1Ntmg2W5Rp7YSWVtz8BVUVyAp8rU5ct8Dd,db1974cad4425117d8ea44e9271d74f698288083f6a07f2bb952ad58bcfcc6c9,Hong Kong,Latvia,1.0,5000.0
1412,2016-10-18,227084,3132,Rabobank Nederland,China Investment Corporation,Bank of China,2509.95877315,1597277.88279,636.3761428571427,15bjM9MaKSFE8cZ4pKNj8fyvKQvea88wdD,1Ntmg2W5Rp7YSWVtz8BVUVyAp8rU5ct8Dd,db1974cad4425117d8ea44e9271d74f698288083f6a07f2bb952ad58bcfcc6c9,Netherlands,Macau,3.0,727730.19
1440,2016-10-18,243289,2307,"Norvik Banka, JSC",The Bank of New York Mellon Corp.,DBS Bank Ltd,2509.95877315,1597277.88279,636.3761428571427,15bjM9MaKSFE8cZ4pKNj8fyvKQvea88wdD,1Ntmg2W5Rp7YSWVtz8BVUVyAp8rU5ct8Dd,db1974cad4425117d8ea44e9271d74f698288083f6a07f2bb952ad58bcfcc6c9,Latvia,Singapore,24.0,3891515.0
